"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","DrawWay参数超过最大长度1位","DrawWay参数超过最大长度1位"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","1","data_handle3","test_sell","Test_sell","","","UserId与partnerid不匹配","UserId与partnerid不匹配"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","接入类型错误，仅支持2","接入类型错误，仅支持2"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","Money为空","Money为空"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","1","data_handle3","test_sell","Test_sell","","","B001正常投注","B001正常投注"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","投注方式错误，仅支持1和2","投注方式错误，仅支持1和2"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","Money参数超过最大长度12位","Money参数超过最大长度12位"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","runcode为空","runcode为空"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","期号过期或校验失败","期号过期或校验失败"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","AccessType参数超过最大长度2位","AccessType参数超过最大长度2位"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","1","data_handle3","test_sell","Test_sell","","","SellTermCode为空","SellTermCode为空"
"failed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","销售金额类型应为整型","销售金额类型应为整型"
"failed","Thu Jun 04 11:29:13 CST 2020","Thu Jun 04 11:29:13 CST 2020","26","data_handle3","test_sell","Test_sell","","","test_sell_api[test_B001_danshi_basic_00_0000]","用例信息：期号：2020033金额：62    测试点：单式-全奇-相同间隔-红球包含蓝球"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","CheckCode为空","CheckCode为空"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","QL730正常投注","QL730正常投注"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","投注方式错误，","投注方式错误，"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","runcode参数重复","runcode参数重复"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","AccessType为空","AccessType为空"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","UserId为空","UserId为空"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","UserId与session不匹配","UserId与session不匹配"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","注码格式校验","注码格式校验"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","1","data_handle3","test_sell","Test_sell","","","B001注码格式错误","B001注码格式错误"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","PlayEname参数超过最大长度10位","PlayEname参数超过最大长度10位"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","UserId参数超过最大长度18位","UserId参数超过最大长度18位"
