"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","LoginSession为空","LoginSession为空"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","1","data_handle3","test_sell","Test_sell","","","玩法名不存在","玩法名不存在"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","K3正常投注","K3正常投注"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","PlayEnam为空","PlayEnam为空"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","1","data_handle3","test_sell","Test_sell","","","S3正常投注","S3正常投注"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","DrawWay为空","DrawWay为空"
"failed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","B001销售金额与注码不符","B001销售金额与注码不符"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","接入类型错误，仅支持2","接入类型错误，仅支持2"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","1","data_handle3","test_sell","Test_sell","","","runcode参数长度超过最大限制35位","runcode参数长度超过最大限制35位"
"passed","Thu Jun 04 11:29:15 CST 2020","Thu Jun 04 11:29:15 CST 2020","0","data_handle3","test_sell","Test_sell","","","UserId不存在","UserId不存在"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","TicketCode为空","TicketCode为空"
"passed","Thu Jun 04 11:29:14 CST 2020","Thu Jun 04 11:29:14 CST 2020","0","data_handle3","test_sell","Test_sell","","","SellTermCode参数超过最大长度8位","SellTermCode参数超过最大长度8位"
